id,status,mean,omega,alpha,beta,persistence,unconditional_variance,neg_log_likelihood,observations
US_INTERNET,ok,0.0003996055327012828,7.962432019222323e-06,0.11975,0.855,0.97475,0.00031534384234543856,-6231.4432728489055,1699
US_SEMICONDUCTOR,ok,0.0014705348524792728,1.6351424708443652e-05,0.08900000000000001,0.8802500000000001,0.9692500000000001,0.000531753649055079,-5704.020771518672,1699
US_NEW_ENERGY,ok,0.000692979363785847,9.737294172363501e-06,0.07575,0.90925,0.985,0.0006491529448242328,-5505.305706116607,1699
US_HEALTHCARE,ok,0.0004643142254941854,4.257000691214038e-06,0.11625,0.85,0.9662499999999999,0.00012613335381374906,-7072.654878527275,1699
US_FINANCIALS,ok,0.0005688340930068839,1.0327728122064418e-05,0.20125,0.7547499999999998,0.9559999999999998,0.00023472109368328142,-6679.169366467559,1699
US_REAL_ESTATE_CHAIN,ok,0.0007835869384180432,5.762470151264769e-06,0.08274999999999999,0.9022500000000001,0.9850000000000001,0.0003841646767509871,-6064.620914419387,1699
US_ENERGY,ok,0.0005918762274392585,6.384971973923562e-06,0.093,0.89275,0.98575,0.00044806820869639077,-6036.447516089088,1699
US_MATERIALS,ok,0.0005176783972142023,8.964313716208379e-06,0.15525,0.8009999999999998,0.9562499999999998,0.00020489859922761925,-6664.836369812182,1699
US_INDUSTRIALS,ok,0.0006723824137166857,6.907504098546341e-06,0.15300000000000002,0.8109999999999999,0.964,0.0001918751138485093,-6791.548965111617,1699
US_UTILITIES,ok,0.000437062598521334,6.009646192604316e-06,0.10850000000000001,0.8584999999999999,0.967,0.00018211049068497912,-6804.811721575926,1699
CN_INTERNET,ok,-0.00019994780128118717,1.3978548975263852e-05,0.07275,0.8882500000000001,0.9610000000000001,0.00035842433269907384,-5808.233090635742,1655
CN_SEMICONDUCTOR,ok,0.00047450815169583103,5.421533539605053e-05,0.189,0.7442499999999999,0.9332499999999999,0.0008122147624876473,-5153.198806310914,1653
CN_NEW_ENERGY,ok,0.0003077270814551254,7.995588476504773e-06,0.06025,0.9215000000000001,0.9817500000000001,0.0004381144370687577,-5100.7058719918095,1497
CN_HEALTHCARE,ok,-5.859779332746353e-05,9.26177027668149e-06,0.1,0.8645,0.9645,0.00026089493737130976,-6094.763665884941,1653
CN_FINANCIALS,ok,0.00010546732414062315,8.616090088397364e-06,0.09375,0.8477499999999999,0.9414999999999999,0.00014728359125465554,-6591.135465098412,1653
CN_REAL_ESTATE_CHAIN,ok,0.0002904537220627626,0.00017999450894443764,0.2475,0.6687499999999998,0.9162499999999998,0.0021491881665007427,-4968.739727680611,1653
CN_ENERGY,ok,0.0002523643375476737,7.403156647289845e-06,0.08900000000000001,0.88175,0.97075,0.0002530993725569178,-6151.799801348854,1653
CN_MATERIALS,ok,0.00047118251370865846,1.2234205434553343e-05,0.09925,0.8715,0.97075,0.00041826343365994334,-5731.48304512766,1653
CN_INDUSTRIALS,ok,0.0002090283710965039,1.2630208996200957e-05,0.09925,0.866,0.9652499999999999,0.00036345925168923554,-5829.374089634091,1653
CN_UTILITIES,ok,-9.799373016009736e-05,3.98996942527669e-06,0.12,0.85375,0.97375,0.00015199883524863586,-4219.902331992149,1056
