as_of_date,id,market,sector,ticker,latest_return,garch_sigma,standardized_residual,empirical_percentile,regime,regime_strength
2026-07-02,US_UTILITIES,US,Utilities,XLU,0.021872027914100162,0.01105697693992777,1.938591844048727,0.9841082989994114,upper_tail,0.6821659799882296
2026-07-02,US_HEALTHCARE,US,Healthcare,XLV,0.025985205096065462,0.012628982435820259,2.0208192544622605,0.9788110653325486,upper_tail,0.5762213066509725
2026-07-02,US_MATERIALS,US,Materials,XLB,0.019218253827073987,0.011501532976996206,1.625920254914029,0.9593878752207181,upper_tail,0.18775750441436312
2026-07-02,US_FINANCIALS,US,Financials,XLF,0.015217688050826137,0.012022113482491974,1.2184924039481617,0.9064155385520895,middle,0.9031456412268655
2026-07-02,CN_MATERIALS,CN,Materials,512400.SS,0.01684316225800319,0.03004501598673049,0.5449149952699405,0.7374470659407139,middle,0.5276601465349197
2026-07-02,US_ENERGY,US,Energy,XLE,0.00773369576325143,0.014195162046786364,0.5031164499759272,0.7027663331371395,middle,0.45059185141586566
2026-07-02,CN_INTERNET,CN,Internet,513050.SS,0.00874686429769191,0.021454591569249813,0.4170115320114637,0.6882175226586102,middle,0.41826116146357833
2026-07-02,CN_ENERGY,CN,Energy,159945.SZ,0.0041963932312076265,0.017710843064452714,0.22269007067066054,0.6158499697519662,middle,0.25744437722659147
2026-07-02,US_INDUSTRIALS,US,Industrials,XLI,0.002995090568316239,0.013662242524014693,0.17000929024037104,0.5615067686874632,middle,0.13668170819436262
2026-07-02,US_REAL_ESTATE_CHAIN,US,Real Estate Chain,XHB,-0.0006216945574089584,0.02157657064602943,-0.06512997449321747,0.468510888758093,middle,0.06997580275979336
2026-07-02,CN_FINANCIALS,CN,Financials,510230.SS,-0.0016839671720996114,0.0157787766564427,-0.1134076826868313,0.45251058681185724,middle,0.10553202930698391
2026-07-02,CN_NEW_ENERGY,CN,New Energy,515030.SS,-0.007144199315680492,0.02395242487748062,-0.3111136528035499,0.3760855043420174,middle,0.27536554590662804
2026-07-02,CN_HEALTHCARE,CN,Healthcare,512010.SS,-0.007534571846172407,0.023374289478209527,-0.3198374889561607,0.3702359346642468,middle,0.28836458963500705
2026-07-02,CN_UTILITIES,CN,Utilities,159611.SZ,-0.009587792169175942,0.014740970665399698,-0.6437702546475105,0.22916666666666666,middle,0.601851851851852
2026-07-02,US_INTERNET,US,Internet,FDN,-0.009466411702980721,0.01578241607439413,-0.6251271788284006,0.22424955856386108,middle,0.6127787587469754
2026-07-02,CN_REAL_ESTATE_CHAIN,CN,Real Estate Chain,512200.SS,-0.018318542668446222,0.02620671943168458,-0.7100849245560374,0.09860859044162129,middle,0.8919809101297305
2026-07-02,US_SEMICONDUCTOR,US,Semiconductor,SMH,-0.04646483113198573,0.03776759168249553,-1.2692195570066498,0.09299587992937022,middle,0.9044536001569551
2026-07-02,CN_INDUSTRIALS,CN,Industrials,512660.SS,-0.025158516601587935,0.01873671106079252,-1.353895296265056,0.0780399274047187,middle,0.9376890502117362
2026-07-02,US_NEW_ENERGY,US,New Energy,QCLN,-0.050711230647060665,0.03493389056213912,-1.471471089640319,0.07474985285462037,middle,0.9450003269897325
2026-07-02,CN_SEMICONDUCTOR,CN,Semiconductor,512760.SS,-0.09054116924332353,0.03368900817011429,-2.7016431274981816,0.004839685420447671,lower_tail,0.9032062915910466
