id,ticker,yahoo_symbol,exchange,currency,long_name,first_price_date,last_price_date,price_observations,volume_observations
US_INTERNET,FDN,FDN,PCX,USD,First Trust Dow Jones Internet Index Fund,2019-07-05,2026-07-02,1758,1758
US_SEMICONDUCTOR,SMH,SMH,NGM,USD,VanEck Semiconductor ETF,2019-07-05,2026-07-02,1758,1758
US_NEW_ENERGY,QCLN,QCLN,NGM,USD,First Trust NASDAQ Clean Edge Green Energy Index Fund,2019-07-05,2026-07-02,1758,1758
US_HEALTHCARE,XLV,XLV,PCX,USD,State Street Health Care Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
US_FINANCIALS,XLF,XLF,PCX,USD,State Street Financial Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
US_REAL_ESTATE_CHAIN,XHB,XHB,PCX,USD,State Street SPDR S&P Homebuilders ETF,2019-07-05,2026-07-02,1758,1758
US_ENERGY,XLE,XLE,PCX,USD,State Street Energy Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
US_MATERIALS,XLB,XLB,PCX,USD,State Street Materials Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
US_INDUSTRIALS,XLI,XLI,PCX,USD,State Street Industrial Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
US_UTILITIES,XLU,XLU,PCX,USD,State Street Utilities Select Sector SPDR ETF,2019-07-05,2026-07-02,1758,1758
CN_INTERNET,513050.SS,513050.SS,SHH,CNY,E Fund CSI Overseas China Internet 50 ETF Index Fund,2019-07-04,2026-07-03,1697,1697
CN_SEMICONDUCTOR,512760.SS,512760.SS,SHH,CNY,Guotai CES Semi-conductor Industry ETF,2019-07-04,2026-07-03,1696,1696
CN_NEW_ENERGY,515030.SS,515030.SS,SHH,CNY,ChinaAMC CSI New Energy Automobile ETF,2020-02-20,2026-07-03,1539,1539
CN_HEALTHCARE,512010.SS,512010.SS,SHH,CNY,E Fund CSI300 Health Care Index ETF,2019-07-04,2026-07-03,1696,1696
CN_FINANCIALS,510230.SS,510230.SS,SHH,CNY,Guotai SSE 180 Financial ETF,2019-07-04,2026-07-03,1696,1696
CN_REAL_ESTATE_CHAIN,512200.SS,512200.SS,SHH,CNY,China Southern CSI All Share Real Estate ETF,2019-07-04,2026-07-03,1696,1696
CN_ENERGY,159945.SZ,159945.SZ,SHZ,CNY,GF CSI All Share Energy Index ETF,2019-07-04,2026-07-03,1696,1696
CN_MATERIALS,512400.SS,512400.SS,SHH,CNY,China Southern CSI SWS Non-Ferrous Mtl ETF,2019-07-04,2026-07-03,1696,1696
CN_INDUSTRIALS,512660.SS,512660.SS,SHH,CNY,Guotai CSI National Defense Ind ETF,2019-07-04,2026-07-03,1696,1696
CN_UTILITIES,159611.SZ,159611.SZ,SHZ,CNY,GF Fund Management Co. Ltd. - CSI All Share Power and Power Grid Index ETF,2021-12-29,2026-07-03,1087,1087
